iso,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
BRB,2018,22.634244147337206
BRN,2018,806.6344308342336
BTN,2018,1240.0644895920357
BWA,2018,2.624943872811415
CAF,2018,40912.99304046648
CAN,2018,2142937.380732713
CHE,2018,3134.386774605056
CHL,2018,76897.64000245367
CHN,2018,569452.9735806625
CIV,2018,324739.8777741439
CMR,2018,120813.96433339977
COD,2018,1373807.4122849707
COG,2018,62697.9058747357
COL,2018,352434.0102758261
COM,2018,218.15903529950504
CPV,2018,10.856790303503145
CRI,2018,12337.858868098652
CUB,2018,14955.103066694448
CUW,2018,0.7522238867377385
CYM,2018,42.38853785286678
CYP,2018,32.45037143414713
CZE,2018,39206.389179753955
DEU,2018,52237.2254555559
DMA,2018,778.5652047954223
DNK,2018,3161.62525342265
DOM,2018,13970.428632400224
DZA,2018,5763.909736466067
ECU,2018,38709.38273219657
EGY,2018,62.738151497385
ESP,2018,119649.00225149644
EST,2018,40038.158930027836
ETH,2018,18894.243222749534
FIN,2018,269954.7991734523
FJI,2018,1366.9353631273343
FRA,2018,69201.43579091608
GAB,2018,26788.056321415617
GBR,2018,26251.46690184897
GEO,2018,300.049159958878
GGY,2018,0.1007252436892361
GHA,2018,151445.59492735632
GIN,2018,182895.35655218904
GLP,2018,100.89858279946664
GMB,2018,6.145941941312392
GNB,2018,14394.170759150717
GNQ,2018,7823.437087446483
GRC,2018,7122.1926176831785
GRD,2018,109.80815758138192
GTM,2018,71160.90213538363
GUF,2018,3738.711203704233
GUY,2018,11760.822378509392
HKG,2018,156.17948805270305
HND,2018,76254.10503903561
HRV,2018,8285.340237986671
HTI,2018,4131.551804991395
HUN,2018,13798.781036617464
IDN,2018,1218732.5160552235
IMN,2018,11.83651861830946
IND,2018,132232.99302253957
IRL,2018,8380.343070775258
IRN,2018,67.98958789365454
ISR,2018,39.655153583592664
ITA,2018,38843.51052161197
JAM,2018,2232.63611540212
JEY,2018,0.0506153934592013
JPN,2018,50506.949507055906
KAZ,2018,1138.8878148571127
KEN,2018,15908.41523844701
KGZ,2018,17.371035471191405
KHM,2018,113205.22828334484
KNA,2018,4.85461569453993
KOR,2018,21850.013081135137
LAO,2018,294666.25123518024
LBN,2018,255.7411684464878
LBR,2018,204932.54481372368
